,customerID,Churn
0,7590-VHVEG,0.0
1,5575-GNVDE,1.0
2,3668-QPYBK,0.0
3,7795-CFOCW,1.0
4,9237-HQITU,1.0
5,9305-CDSKC,0.0
6,1452-KIOVK,0.0
7,6713-OKOMC,1.0
8,7892-POOKP,0.0
9,6388-TABGU,0.0
10,9763-GRSKD,0.0
11,7469-LKBCI,1.0
12,8091-TTVAX,0.0
13,0280-XJGEX,0.0
14,5129-JLPIS,0.0
15,3655-SNQYZ,0.0
16,8191-XWSZG,1.0
17,9959-WOFKT,0.0
18,4190-MFLUW,1.0
19,4183-MYFRB,0.0
20,8779-QRDMV,1.0
21,1680-VDCWW,0.0
22,1066-JKSGK,0.0
23,3638-WEABW,0.0
24,6322-HRPFA,1.0
25,6865-JZNKO,1.0
26,6467-CHFZW,0.0
27,8665-UTDHZ,1.0
28,5248-YGIJN,0.0
29,8773-HHUOZ,0.0
30,3841-NFECX,0.0
31,4929-XIHVW,0.0
32,6827-IEAUQ,0.0
33,7310-EGVHZ,0.0
34,3413-BMNZE,1.0
35,6234-RAAPL,0.0
36,6047-YHPVI,1.0
37,6572-ADKRS,1.0
38,5380-WJKOV,0.0
39,8168-UQWWF,0.0
40,8865-TNMNX,0.0
41,9489-DEDVP,0.0
42,9867-JCZSP,0.0
43,4671-VJLCL,0.0
44,4080-IIARD,0.0
45,3714-NTNFO,1.0
46,5948-UJZLF,0.0
47,7760-OYPDY,0.0
48,7639-LIAYI,0.0
49,2954-PIBKO,1.0
50,8012-SOUDQ,0.0
51,9420-LOJKX,1.0
52,6575-SUVOI,0.0
53,7495-OOKFY,1.0
54,4667-QONEA,0.0
55,1658-BYGOY,0.0
56,8769-KKTPH,0.0
57,5067-XJQFU,0.0
58,3957-SQXML,0.0
59,5954-BDFSG,0.0
60,0434-CSFON,0.0
61,1215-FIGMP,0.0
62,0526-SXDJP,1.0
63,0557-ASKVU,0.0
64,5698-BQJOH,0.0
65,5122-CYFXA,0.0
66,8627-ZYGSZ,0.0
67,3410-YOQBQ,0.0
68,3170-NMYVV,0.0
69,7410-OIEDU,0.0
70,2273-QCKXA,0.0
71,0731-EBJQB,0.0
72,1891-QRQSA,0.0
73,8028-PNXHQ,0.0
74,5630-AHZIL,0.0
75,2673-CXQEU,0.0
76,6416-JNVRK,0.0
77,5590-ZSKRV,0.0
78,0191-ZHSKZ,1.0
79,3887-PBQAO,0.0
80,5919-TMRGD,1.0
81,8108-UXRQN,0.0
82,9191-MYQKX,0.0
83,9919-YLNNG,0.0
84,0318-ZOPWS,0.0
85,4445-ZJNMU,0.0
86,4808-YNLEU,0.0
87,1862-QRWPE,0.0
88,2796-NNUFI,0.0
89,3016-KSVCP,0.0
90,4767-HZZHQ,0.0
91,2424-WVHPL,0.0
92,7233-PAHHL,0.0
93,6067-NGCEU,1.0
94,9848-JQJTX,0.0
95,8637-XJIVR,1.0
96,9803-FTJCG,0.0
97,0278-YXOOG,1.0
98,3212-KXOCR,0.0
99,4598-XLKNJ,0.0
100,6380-ARCEH,0.0
101,3679-XASPY,0.0
102,7123-WQUHX,1.0
103,5386-THSLQ,0.0
104,3192-NQECA,0.0
105,6180-YBIQI,0.0
106,6728-DKUCO,0.0
107,9750-BOOHV,0.0
108,8597-CWYHH,1.0
109,2848-YXSMW,0.0
110,0486-HECZI,0.0
111,4549-ZDQYY,1.0
112,5712-AHQNN,0.0
113,4846-WHAFZ,0.0
114,5256-SKJGO,0.0
115,3071-VBYPO,1.0
116,9560-BBZXK,0.0
117,5299-RULOA,0.0
118,8402-OOOHJ,0.0
119,9445-ZUEQE,0.0
120,1091-SOZGA,1.0
121,2928-HLDBA,0.0
122,0404-SWRVG,0.0
123,6497-TILVL,0.0
124,7219-TLZHO,1.0
125,4622-YNKIJ,0.0
126,4412-YLTKF,0.0
127,6734-PSBAW,0.0
128,3930-ZGWVE,0.0
129,2639-UGMAZ,1.0
130,2876-GZYZC,0.0
131,6207-WIOLX,1.0
132,8587-XYZSF,1.0
133,3091-FYHKI,0.0
134,2372-HWUHI,0.0
135,7799-LGRDP,0.0
136,7850-VWJUU,0.0
137,3774-VBNXY,1.0
138,6217-KDYWC,0.0
139,0390-DCFDQ,1.0
140,3146-MSEGF,0.0
141,4080-OGPJL,0.0
142,1095-WGNGG,0.0
143,2636-SJDOU,0.0
144,1131-QQZEB,0.0
145,5716-EZXZN,1.0
146,6837-BJYDQ,0.0
147,2135-RXIHG,0.0
148,6440-DKQGE,0.0
149,3466-BYAVD,1.0
150,3780-YVMFA,0.0
151,3874-EQOEP,0.0
152,1679-JRFBR,0.0
153,9073-ZZIAY,0.0
154,3077-RSNTJ,0.0
155,6551-GNYDG,0.0
156,9167-APMXZ,0.0
157,2749-CTKAJ,0.0
158,6371-NZYEG,0.0
159,7554-NEWDD,1.0
160,8992-VONJD,0.0
161,0867-MKZVY,0.0
162,4482-EWFMI,0.0
163,4648-YPBTM,0.0
164,2907-ILJBN,1.0
165,6345-FZOQH,0.0
166,3376-BMGFE,1.0
167,5997-OPVFA,0.0
168,3445-HXXGF,0.0
169,1159-WFSGR,1.0
170,7654-YWJUF,0.0
171,1875-QIVME,1.0
172,6727-IOTLZ,0.0
173,0691-JVSYA,0.0
174,5918-VUKWP,1.0
175,1744-JHKYS,1.0
176,2656-FMOKZ,0.0
177,2070-FNEXE,0.0
178,5947-SGKCL,1.0
179,3712-PKXZA,0.0
180,6317-YPKDH,1.0
181,6582-OIVSP,0.0
182,9367-WXLCH,1.0
183,5524-KHNJP,1.0
184,1918-ZBFQJ,0.0
185,1024-GUALD,0.0
186,4827-USJHP,0.0
187,8167-GJLRN,0.0
188,0956-SYCWG,0.0
189,8017-UVSZU,1.0
190,7100-FQPRV,0.0
191,2472-OVKUP,0.0
192,2984-RGEYA,0.0
193,9680-NIAUV,0.0
194,2146-EGVDT,0.0
195,2604-IJPDU,0.0
196,9178-JHUVJ,0.0
197,6168-YBYNP,0.0
198,7255-SSFBC,0.0
199,3645-DEYGF,0.0
200,9323-HGFWY,0.0
201,8544-GOQSH,0.0
202,3363-DTIVD,0.0
203,7018-WBJNK,0.0
204,9142-KZXOP,0.0
205,7674-YTAFD,1.0
206,6348-SNFUS,1.0
207,1285-OKIPP,0.0
208,7825-ECJRF,1.0
209,1347-KTTTA,0.0
210,7841-TZDMQ,0.0
211,4195-NZGTA,0.0
212,7157-SMCFK,0.0
213,4709-LKHYG,0.0
214,2504-DSHIH,0.0
215,0699-NDKJM,0.0
216,9286-BHDQG,0.0
217,0230-WEQUW,0.0
218,2040-LDIWQ,1.0
219,6496-JDSSB,0.0
220,9408-SSNVZ,0.0
221,4443-EMBNA,1.0
222,6469-MRVET,0.0
223,0742-MOABM,0.0
224,5961-VUSRV,0.0
225,6778-JFCMK,1.0
226,6341-JVQGF,0.0
227,2232-DMLXU,0.0
228,4811-JBUVU,0.0
229,0945-TSONX,0.0
230,2651-ZCBXV,1.0
231,3316-UWXUY,0.0
